Num_Acc;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202100039518;130A 965;A01;1;1;1;1;1970;4;1;-1;-1;0;0;-1
202100040488;129A 234;A01;1;1;1;2;1999;5;8;-1;-1;0;0;-1
202100043700;123A 573;A01;1;1;3;1;1989;5;6;2;9;0;0;-1
202100051556;109A 540;B01;1;1;4;1;1955;5;2;-1;-1;0;0;-1
202100050515;111A 404;A01;1;1;4;1;1963;5;2;-1;-1;0;0;-1
202100021275;163A 626;A01;1;1;4;2;2002;0;1;0;-1;-1;-1;-1
202100023252;160A 052;A01;1;1;4;2;1989;1;1;0;-1;-1;-1;-1
202100037163;135A 257;A01;1;1;1;1;1977;5;1;0;-1;0;0;-1
202100049539;113A 208;B01;1;1;1;1;1988;5;1;8;-1;-1;-1;-1
202100035029;139A 080;B01;1;1;3;1;1978;0;2;0;-1;-1;-1;-1
202100011088;181A 908;A01;1;1;1;2;1998;1;1;0;-1;-1;-1;-1
