Num_Acc;dep;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;larrout;surf;infra;situ;vma
202100043759;64;4;MARECHAL LECLERC DU;0;Inconnu;2;5;1;1;0;0;1;-1.0;1;5;1;50
202100045465;26;3;52;0;D;2;2;0;1;10;215;3;-1.0;1;0;1;80
202100029169;94;3;RHIN ET DANUBE(RUE DU);0;Inconnu;3;5;3;1;1;0;1;-1.0;2;0;6;50
202100031096;41;3;RD 957;0;Inconnu;3;4;0;1;-1;-1;1;-1.0;1;0;1;90
202100052721;29;3;36;0;Inconnu;2;2;0;1;48;500;1;-1.0;2;5;8;80
202100038700;33;4;;-1;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;0;1;30
202100038385;13;4;PIERRE DOIZE  (RUE);0;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;0;1;50
202100037220;63;7;MALINTRAT (RTE DE );0;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;0;1;50
202100017127;93;3;PAUL VAILLANT COUTURIER (BD);0;Inconnu;2;4;0;1;0;1;1;-1.0;1;8;1;50
202100039947;30;4;REPUBLIQUE (RUE);0;Inconnu;2;2;0;1;0;0;1;-1.0;1;0;1;50
202100005294;51;4;;0;Inconnu;2;2;0;1;-1;-1;1;-1.0;2;0;1;50
202100019976;34;4;130;-1;Inconnu;2;2;0;1;-1;-1;2;-1.0;1;9;1;30
202100016021;30;1;A 9;-1;Inconnu;1;5;0;1;64;0;1;-1.0;1;0;1;-1
202100040832;978;9;7;0;R;2;2;0;2;1;1;1;-1.0;1;0;4;50
202100038018;31;7;BLAGNAC (ROUTE DE);0;Inconnu;2;1;0;1;43;297;1;-1.0;1;0;1;50
202100030369;37;4;PETIT BOIS (RUE DU);0;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;0;1;50
202100027654;57;6;;-1;Inconnu;-1;-1;0;1;-1;-1;2;4.0;2;0;8;-1
202100056046;49;4;MENDES FRANCE AVENUE PIERRE;0;Inconnu;-1;2;0;1;1;0;1;-1.0;2;0;1;50
202100041297;13;4;BATTALA (BOULEVARD);0;Inconnu;1;1;0;2;-1;-1;1;-1.0;1;0;1;50
202100055523;75;4;RUE DE SAUSSURE;0;Inconnu;1;1;0;1;-1;-1;2;-1.0;1;0;1;30
202100044817;52;3;RD 65 A;0;Inconnu;-1;2;0;1;0;0;1;-1.0;1;0;1;50
202100055579;59;3;11;-1;Inconnu;2;1;0;1;-1;-1;4;-1.0;1;0;3;50
202100035437;93;1;AUTOROUTE A104;0;Inconnu;3;6;0;1;6;699;1;-1.0;1;0;1;110
202100012718;49;4;;-1;Inconnu;2;2;0;1;-1;-1;1;4.0;1;0;1;80
202100007028;24;3;GRANDOU (AVENUE MICHEL);0;Inconnu;-1;0;0;1;0;0;3;-1.0;1;0;1;50
202100039123;19;4;Alsace Lorraine (Avenue);0;Inconnu;1;2;0;1;-1;-1;3;-1.0;2;0;1;50
202100046218;83;4;CRIVELLI (RUE);0;Inconnu;1;1;0;1;0;0;1;-1.0;1;0;1;50
202100035606;44;9;;-1;Inconnu;-1;2;0;1;-1;-1;1;4.0;1;9;1;30
